seed,episode,average_reward,success_rate,epsilon,loss
7,10,-120.4,0.0,0.9511101304657719,4.7767580444472175
7,20,-138.5,0.0,0.9046104802746175,8.36006467744204
7,30,-140.8,0.0,0.8603841919146962,8.25187932172497
7,40,-123.8,0.0,0.8183201210226743,6.879456823858455
7,50,-122.4,0.0,0.778312557068642,8.090583689768346
7,60,-127.1,0.0,0.7402609576967045,7.187858653299672
7,70,-130.4,0.0,0.7040696960536299,7.991198113953905
7,80,-119.6,0.0,0.6696478204705644,7.778469703491554
7,90,-112.3,0.0,0.6369088258938781,7.665342573220768
7,100,-117.1,0.0,0.6057704364907278,8.495729477600445
7,110,-98.7,10.0,0.5761543988830038,8.34148753084254
7,120,-124.8,0.0,0.547986285490042,8.055867555103537
7,130,-125.6,0.0,0.5211953074858876,8.415554658223858
7,140,-98.7,10.0,0.49571413690105054,8.736407169857781
7,150,-88.4,10.0,0.47147873742168567,7.976336322554339
7,160,-90.6,10.0,0.4484282034609769,7.914277580794182
7,170,-97.4,10.0,0.42650460709830135,8.25073984572602
7,180,-51.0,30.0,0.40565285250151817,7.714310673815864
7,190,-71.0,20.0,0.3858205374665315,7.915226364149357
7,200,-71.8,20.0,0.3669578217261671,8.545812958495361
7,210,-50.4,30.0,0.34901730169741024,7.275702834326812
7,220,-91.9,10.0,0.33195389135223546,7.6617034337104455
7,230,-42.4,30.0,0.3157247089126454,7.710955108442818
7,240,-64.8,20.0,0.30028896908517405,8.35105271003251
7,250,-23.2,40.0,0.285607880564032,8.037756156930342
7,260,-24.8,40.0,0.27164454854530906,7.092165513703411
7,270,-26.0,40.0,0.2583638820072446,7.484373099842742
7,280,-42.2,30.0,0.2457325055235537,7.953724715528772
7,290,-23.5,40.0,0.23371867538818816,7.138689212592718
7,300,34.1,70.0,0.22229219984074702,7.4376718058287565
7,310,43.6,70.0,0.21142436319205632,7.248379248570662
7,320,87.8,90.0,0.2010878536592394,7.329996163253395
7,330,59.8,80.0,0.1912566947289212,7.510597748946898
7,340,104.2,100.0,0.18190617987607657,7.1428587459884145
7,350,68.1,80.0,0.1730128104744653,7.289504677029859
7,360,46.4,70.0,0.16455423674261854,6.766519956173774
7,370,112.4,100.0,0.15650920157696743,6.743011784320315
7,380,90.1,90.0,0.14885748713096328,6.335245894434403
7,390,86.8,90.0,0.14157986400593744,7.036261542477855
7,400,110.3,100.0,0.1346580429260134,6.81918444355148
7,410,112.2,100.0,0.12807462877562611,6.426951755813549
7,420,70.7,80.0,0.12181307688414106,6.819005451660416
7,430,114.9,100.0,0.11585765144771248,6.231586011845989
7,440,70.7,80.0,0.11019338598389174,6.355765400645024
7,450,69.8,80.0,0.10480604571960442,6.753970640559727
7,460,69.9,80.0,0.0996820918179746,6.645590068829202
7,470,114.1,100.0,0.09480864735409487,6.179239216630717
7,480,72.4,80.0,0.09017346495423652,6.135458489176399
7,490,93.5,90.0,0.08576489601717459,6.4786748034508745
7,500,115.7,100.0,0.08157186144027828,5.880966515091229
21,10,-115.6,0.0,0.9511101304657719,5.733045020103455
21,20,-122.0,0.0,0.9046104802746175,11.238984439495248
21,30,-128.1,0.0,0.8603841919146962,10.560364572807476
21,40,-122.6,0.0,0.8183201210226743,9.485287360751377
21,50,-136.6,0.0,0.778312557068642,9.347368607752117
21,60,-119.1,0.0,0.7402609576967045,9.178653219845796
21,70,-113.2,0.0,0.7040696960536299,9.123681654591453
21,80,-131.0,0.0,0.6696478204705644,8.962887220094558
21,90,-113.6,0.0,0.6369088258938781,9.255197123867093
21,100,-116.6,0.0,0.6057704364907278,10.027295657416694
21,110,-116.7,0.0,0.5761543988830038,10.081520012631403
21,120,-110.1,0.0,0.547986285490042,10.577520950748807
21,130,-111.2,0.0,0.5211953074858876,10.971493372264362
21,140,-113.3,0.0,0.49571413690105054,10.926489916614983
